SA2_CODE21,SA2_NAME21,Parcel_Count,Total_Dwelling_Yield,Avg_Dwelling_Yield,Avg_Timing_Category,SA2_code,2021,2026,2031,2036,2041,2046
303051072,algester,611,3777.0,6.181669394435352,3.911620294599018,303051072.0,9146.0,9179.115431572847,9299.40640591576,9408.326707971226,9515.948345604069,9592.537769985996
303051073,calamvale - stretton,1345,7363.0,5.474349442379182,3.636431226765799,303051073.0,23329.0,24993.17573189466,25567.08079133136,26123.03527645672,26694.568487433884,27141.565592150346
303051074,pallara - willawong,1755,28297.0,16.123646723646722,3.89002849002849,303051074.0,10393.0,13067.595902713643,14005.747793817667,14473.77262958176,15282.784198871894,16202.670121592091
303051075,parkinson - drewvale,226,19010.0,84.11504424778761,2.146017699115044,303051075.0,16410.0,17245.012831494045,17608.224649757787,17893.22191843235,18112.7395384416,18253.24169741323
303051076,rocklea - acacia ridge,638,3642.0,5.70846394984326,4.0,303051076.0,9864.0,10525.010325558242,10614.459612142176,10766.439988110944,10999.187717349829,11343.556709733064
303061077,kuraby,45,1575.0,35.0,3.0,303061077.0,9151.0,9232.431578791386,9276.701603261952,9318.44782709604,9396.604998843726,9479.24070273888
303061078,runcorn,1204,22816.0,18.95016611295681,3.506644518272425,303061078.0,14332.0,15504.05130495381,15638.468759536248,15724.626019191755,15878.063828542778,15978.742691630498
303061079,sunnybank,809,4123.0,5.096415327564895,3.8368355995055623,303061079.0,9203.0,9798.08977893313,9916.28705679536,9999.248214470235,10096.188783153437,10179.40009581967
303061080,sunnybank hills,1262,12546.0,9.94136291600634,3.705229793977813,303061080.0,18459.0,18277.700349095005,18468.482492396823,18680.154496192823,18903.234197558573,19088.36187253984
304011084,seventeen mile rocks - sinnamon park,54,1890.0,35.0,4.0,304011084.0,9836.0,9831.762794970628,9783.459683819468,9808.654590231492,9807.2677726109,9779.226602023316
304021086,bellbowrie - moggill,138,2142.0,15.521739130434783,2.449275362318841,304021086.0,10660.0,10907.847350843344,10971.984224185646,11061.51248734487,11285.37480097044,11487.5376676347
304021087,brookfield - kenmore hills,0,0.0,,,304021087.0,7103.0,6794.9689365796985,6676.665464338922,6561.654095429749,6493.689648783533,6420.58914316156
304021088,chapel hill,627,1881.0,3.0,3.9776714513556617,304021088.0,10877.0,10920.255678669406,10982.965619719034,11014.55450905623,11071.14032230847,11104.461102492292
304021089,fig tree pocket,222,2362.0,10.63963963963964,3.2117117117117115,304021089.0,4410.0,4581.875426866477,4725.082946090362,4825.773466704675,4942.376224956619,5028.409579889475
304021090,kenmore,493,6567.0,13.32048681541582,3.1379310344827585,304021090.0,9547.0,9680.228059415364,9933.83035617798,10104.291101971574,10272.496140897252,10396.416359401705
304031093,corinda,211,3193.0,15.132701421800949,3.3270142180094786,304031093.0,5391.0,5571.558910243955,5734.909349598755,5917.239932355235,6128.15251640687,6391.368172456567
304031094,indooroopilly,6,210.0,35.0,5.0,304031094.0,13717.0,14688.750637298304,15631.57385223532,16464.49143157205,17613.892634760465,19135.534136155624
304031095,sherwood,169,507.0,3.0,3.591715976331361,304031095.0,6526.0,6839.051233195394,7066.825014102533,7369.863491967828,7692.912118994635,8056.87783968875
304031097,taringa,27,2025.0,75.0,2.0,304031097.0,9188.0,9619.669598010876,10011.017411056428,10640.999047284144,11265.863335597667,11919.41594476194
304041100,keperra,174,6138.0,35.275862068965516,3.5172413793103448,304041100.0,7498.0,7366.179897000274,7399.07501002644,7509.523949807604,7593.75472326862,7636.178007324178
304041101,mitchelton,76,15969.0,210.1184210526316,1.9210526315789471,304041101.0,9034.0,9330.726869252288,9526.673876727673,9978.055153007514,10569.02811356291,11121.597889926226
304041103,the gap,808,4152.0,5.138613861386139,4.02970297029703,304041103.0,17414.0,17554.74893724995,17741.398548855832,17963.77716161662,18202.208741115697,18370.9554743635
304041104,upper kedron - ferny grove,365,14379.0,39.394520547945206,3.0794520547945203,304041104.0,11852.0,12833.436880580875,13302.748204835249,13242.86554501684,13235.514438367689,13220.775170320218
305011105,brisbane city,32,9600.0,300.0,1.0,305011105.0,13779.0,18288.47611670039,24856.22420578045,29536.93653023895,33121.74841283029,36319.30793509228
305011106,fortitude valley,69,20700.0,300.0,2.0144927536231885,305011106.0,9755.0,12646.867588427329,15252.061386238787,17706.195465507586,19702.379068214592,21791.20179867828
305011108,kangaroo point,36,10800.0,300.0,2.0,305011108.0,9974.0,10597.990447960005,11439.294576924938,12254.849074303318,13104.353100213171,13977.519979422155
305011112,west end,220,43725.0,198.75,2.831818181818182,305011112.0,15291.0,20523.62655072849,24922.625892286826,27875.14768667512,31519.04621771903,34566.9262709859
305021113,balmoral,89,12655.0,142.19101123595505,2.0,305021113.0,4621.0,4785.170863108391,4869.506126767168,4967.202865681604,5084.094196191969,5212.2178434037305
305021114,bulimba,53,1855.0,35.0,2.0,305021114.0,7507.0,8042.145285723756,8292.85259519598,8784.004761940356,9462.063956906646,10020.158025291516
305021115,east brisbane,54,1890.0,35.0,4.0,305021115.0,6230.0,6759.187222702167,7121.509140233915,7442.204328551881,7803.9848064526,8207.043909200878
305021117,morningside - seven hills,637,23295.0,36.569858712715856,3.502354788069074,305021117.0,14583.0,14641.916041511868,14779.96515044971,14902.757744535218,15146.395171660464,15553.908518557906
305031119,albion,207,17455.0,84.32367149758454,2.743961352657005,305031119.0,4374.0,5527.373945294914,6259.532643480486,6858.710645693918,7507.97956220656,7903.552319081064
305031120,alderley,25,5115.0,204.6,1.0,305031120.0,6691.0,7157.908763640096,7596.028890419802,8003.522457067158,8446.76847766428,8939.580804105937
305031121,ascot,57,14715.0,258.1578947368421,1.0,305031121.0,5850.0,6783.9422180185675,7486.43404596447,7937.587649993813,8196.420834840474,8348.995387542198
305031122,clayfield,27,2025.0,75.0,2.0,305031122.0,10924.0,11435.616866378205,11710.6499129716,11952.04161542131,12346.469369834998,12850.183415828904
305031124,hamilton (qld),72,21600.0,300.0,2.0,305031124.0,6874.0,7747.206383965592,8112.817946062758,8385.942375278644,8711.193054792704,9111.34460687126
305031125,hendra,15,1125.0,75.0,3.0,305031125.0,5023.0,5055.46459328806,5137.497897424044,5228.700924336387,5350.622225209127,5449.682497700532
305031126,kelvin grove - herston,53,1855.0,35.0,2.0,305031126.0,10445.0,12491.010142570129,13064.686886030971,13470.223158334096,13887.166600694796,14089.950433069584
305031128,newstead - bowen hills,250,68700.0,274.8,2.736,305031128.0,18463.0,21480.566343785616,23143.55158635179,25261.61196282387,27577.166763847992,31039.444807778887
305031130,windsor,15,1125.0,75.0,3.0,305031130.0,8126.0,8707.717260668913,9081.123504173922,9485.70358009458,10233.352202964052,11194.887393578494
305031131,wooloowin - lutwyche,102,15750.0,154.41176470588235,1.8823529411764703,305031131.0,11234.0,11687.4557622034,12105.767769789058,12609.972515203915,13216.462461849236,14063.7673813693
305041132,ashgrove,146,438.0,3.0,4.0,305041132.0,13941.0,14202.394808202856,14414.007373464578,14611.385469975456,14830.041312603487,15030.867354678749
305041133,auchenflower,27,2025.0,75.0,2.0,305041133.0,5774.0,6270.121858467451,6335.425758666212,6408.320312235581,6523.589019861627,6721.870443959848
305041134,bardon,292,876.0,3.0,4.0,305041134.0,10482.0,10811.67286253212,11058.12559622342,11302.858033208831,11569.15692409821,11818.314147862777
305041135,paddington - milton,36,10800.0,300.0,2.0,305041135.0,12444.0,13399.682027628647,14087.372079821977,14655.637964399342,15241.07045939495,15859.457132501471
305041137,toowong,64,16500.0,257.8125,1.5625,305041137.0,12725.0,14814.12009223385,15790.131341480244,16792.155233752896,17767.93790522001,18917.75319236296
