SA2_CODE21,SA2_NAME21,Parcel_Count,Total_Dwelling_Yield,Avg_Dwelling_Yield,Avg_Timing_Category,2021,2026,2031,2036,2041,2046,dwelling_gap
302011025,everton park,1330,5430.0,4.082706766917293,3.794736842105263,10194.0,10824.983272196823,11472.070208555906,12228.708817250968,13049.400890672288,13850.77894387572,-4918.771916577638
302011026,mcdowall,524,8604.0,16.419847328244273,3.0267175572519083,8018.0,8160.072072634018,8240.794108958407,8340.365103121296,8371.81386241922,8355.485222142226,-8514.882356416638
302021027,aspley,59,2553.0,43.271186440677965,3.559322033898305,13068.0,12969.839323519562,12782.420304559302,12625.38762949943,12539.512628134036,12475.946731833148,-2667.231878176279
302021028,chermside,53,1855.0,35.0,2.0,11612.0,12728.759335029088,13963.463139781144,15607.244938057947,17470.07691785662,19974.55997611288,-914.4147440875422
302021029,chermside west,169,507.0,3.0,3.591715976331361,6701.0,6752.450905928304,6826.390948260832,6890.623440341633,6979.7045273637095,7064.067650540016,-456.843620695667
302021030,geebung,146,438.0,3.0,4.0,4599.0,4645.403296580511,4652.25943324679,4663.250986311006,4689.0486376705285,4712.857834994086,-416.6962267012841
302031035,boondall,97,1731.0,17.84536082474227,3.0,9739.0,10010.6682388042,10032.368403608907,9995.56209916915,10054.812044089147,10078.705689656295,-1613.652638556437
302031036,brisbane airport,32,9600.0,300.0,1.0,131.0,339.57378302544026,463.49543586418,503.0758055492259,507.4070366794568,506.5197106723106,-9467.001825654328
302031037,eagle farm - pinkenba,409,74775.0,182.8239608801956,3.5378973105134475,2104.0,5124.979890327555,7403.440524603633,9222.811980222265,10985.31764832777,12907.535439376748,-72655.22379015855
302031038,northgate - virginia,90,3150.0,35.0,3.0,7169.0,7368.876527418068,7460.257176718914,7586.900013392429,7741.357249986579,7906.138032395393,-3033.4971293124345
302031039,nudgee - banyo,53,1855.0,35.0,2.0,10948.0,11609.719679462503,11863.956246727828,12354.3713258585,12829.015053582509,13147.746900680257,-1488.6175013088687
302041041,bracken ridge,804,28852.0,35.885572139303484,2.91044776119403,17816.0,17998.984440657474,17976.516875324443,17880.68483995846,18020.403723484877,18321.76060527875,-28787.79324987022
302041042,brighton (qld),731,2193.0,3.0,3.9958960328317374,9786.0,9931.003433665566,10149.319547983108,10336.817537573614,10554.196683934586,10758.579955159928,-2047.6721808067566
302041045,taigum - fitzgibbon,796,29796.0,37.4321608040201,2.807788944723618,14301.0,14700.73480671307,15185.566488624652,15505.994856781148,15807.829725489222,16119.115218368412,-29442.17340455014
303011048,cannon hill,36,10800.0,300.0,2.0,7028.0,7540.298040612772,7760.132781280286,7977.184102194743,8156.461137350135,8340.698123458365,-10507.146887487886
303011049,carina,182,11238.0,61.747252747252745,3.604395604395605,12003.0,12781.808603736274,13174.35764429466,13395.408346755212,13936.525825143985,14639.341042262282,-10769.456942282137
303011050,carina heights,72,21600.0,300.0,2.0,6980.0,7156.781029092284,7282.285351642228,7404.40716039862,7603.071602583675,7884.343357718737,-21479.085859343108
303011051,carindale,146,438.0,3.0,4.0,16782.0,16802.02775996223,16539.153937286283,16247.27267381531,16011.632863989038,15764.46419746444,-535.1384250854869
303021053,coorparoo,13,3900.0,300.0,4.0,18165.0,19565.836726673475,20619.696957735607,22160.94244256055,23780.875289277355,25537.282088774664,-2918.121216905757
303021056,holland park,23,69.0,3.0,1.0,9017.0,9329.2635743741,9489.103900073376,9624.016176900075,9804.810575598944,10026.95478892035,119.84156002935052
303021057,holland park west,63,12825.0,203.57142857142856,2.0,6499.0,6959.217903858214,7163.483172231537,7341.875815183444,7514.678309379207,7734.333547931676,-12559.206731107386
303021058,woolloongabba,274,54655.0,199.47080291970804,2.302919708029197,8787.0,10892.789533278694,13069.499300560596,16025.005080006733,18913.02763382909,21832.13186464543,-52942.00027977576
303021059,yeronga,90,12690.0,141.0,3.2,10343.0,10992.617343317836,11247.385532081726,11737.738214567076,12355.834080774484,12944.820827650052,-12328.24578716731
303031060,eight mile plains,1472,12272.0,8.33695652173913,3.6786684782608696,15479.0,15528.58132481022,15979.239392890831,16137.661654851974,16324.01092160712,16400.051617269568,-12071.904242843668
303031061,macgregor (qld),292,876.0,3.0,4.0,6075.0,6689.392229036699,7050.65390196899,7601.380618914416,8202.987696912473,8771.412812937608,-485.73843921240405
303031062,mansfield (qld),23,69.0,3.0,1.0,9008.0,9121.673712882795,9185.20530217589,9246.458866008436,9347.60938978216,9445.330599266304,1.8821208703557204
303031063,mount gravatt,107,3745.0,35.0,3.0093457943925235,16166.0,17576.88020080988,18651.8980149509,19907.463226656255,21410.615040731376,23247.629059649327,-2750.6407940196395
303031064,rochedale - burbank,1887,76201.0,40.38208797032326,3.289348171701113,11201.0,14153.915469013396,15772.890061710685,16852.09700569668,18280.80074194948,19731.996235952185,-74372.24397531572
303031065,upper mount gravatt,212,12813.0,60.43867924528302,3.693396226415094,11180.0,12639.917333575508,14256.08549871165,16803.864121432445,19202.099552293104,22213.819541463843,-11582.56580051534
303031066,wishart,200,2328.0,11.64,4.0,11584.0,11664.957821652431,11720.03373160465,11736.434162677831,11800.740488240244,11867.983498813292,-2273.58650735814
303041067,coopers plains,53,1855.0,35.0,2.0,5802.0,6519.196475437737,6962.059720388576,7454.369085573962,7948.441031798151,8474.709383841453,-1390.9761118445695
303041068,moorooka,0,0.0,,,10996.0,11764.633411300263,12067.197168045128,12383.673055160618,12791.589290988468,13300.033580300507,428.47886721805116
303041069,robertson,0,0.0,,,4950.0,5626.026457575925,5656.727104374867,5668.2072811725775,5687.618501172566,5699.361107616236,282.6908417499468
303041070,salisbury - nathan,461,1383.0,3.0,3.850325379609545,7679.0,7859.1659752901505,7982.147710404738,8079.680165667853,8201.943004468605,8320.303438232317,-1261.7409158381047
303041071,tarragindi,0,0.0,,,11085.0,11332.727755971637,11455.362531484516,11558.292474772274,11692.226168363946,11817.484990407384,148.1450125938063
303051072,algester,611,3777.0,6.181669394435352,3.911620294599018,9146.0,9179.115431572847,9299.40640591576,9408.326707971226,9515.948345604069,9592.537769985996,-3715.6374376336958
303051073,calamvale - stretton,1345,7363.0,5.474349442379182,3.636431226765799,23329.0,24993.17573189466,25567.08079133136,26123.03527645672,26694.568487433884,27141.565592150346,-6467.767683467457
303051074,pallara - willawong,1755,28297.0,16.123646723646722,3.89002849002849,10393.0,13067.595902713643,14005.747793817667,14473.77262958176,15282.784198871894,16202.670121592091,-26851.90088247293
303051075,parkinson - drewvale,226,19010.0,84.11504424778761,2.146017699115044,16410.0,17245.012831494045,17608.224649757787,17893.22191843235,18112.7395384416,18253.24169741323,-18530.710140096886
303051076,rocklea - acacia ridge,638,3642.0,5.70846394984326,4.0,9864.0,10525.010325558242,10614.459612142176,10766.439988110944,10999.187717349829,11343.556709733064,-3341.8161551431294
303061077,kuraby,45,1575.0,35.0,3.0,9151.0,9232.431578791386,9276.701603261952,9318.44782709604,9396.604998843726,9479.24070273888,-1524.7193586952192
303061078,runcorn,1204,22816.0,18.95016611295681,3.506644518272425,14332.0,15504.05130495381,15638.468759536248,15724.626019191755,15878.063828542778,15978.742691630498,-22293.4124961855
303061079,sunnybank,809,4123.0,5.096415327564895,3.8368355995055623,9203.0,9798.08977893313,9916.28705679536,9999.248214470235,10096.188783153437,10179.40009581967,-3837.6851772818563
303061080,sunnybank hills,1262,12546.0,9.94136291600634,3.705229793977813,18459.0,18277.700349095005,18468.482492396823,18680.154496192823,18903.234197558573,19088.36187253984,-12542.20700304127
304011084,seventeen mile rocks - sinnamon park,54,1890.0,35.0,4.0,9836.0,9831.762794970628,9783.459683819468,9808.654590231492,9807.2677726109,9779.226602023316,-1911.0161264722126
304021086,bellbowrie - moggill,138,2142.0,15.521739130434783,2.449275362318841,10660.0,10907.847350843344,10971.984224185646,11061.51248734487,11285.37480097044,11487.5376676347,-2017.2063103257417
304021087,brookfield - kenmore hills,0,0.0,,,7103.0,6794.9689365796985,6676.665464338922,6561.654095429749,6493.689648783533,6420.58914316156,-170.53381426443121
304021088,chapel hill,627,1881.0,3.0,3.9776714513556617,10877.0,10920.255678669406,10982.965619719034,11014.55450905623,11071.14032230847,11104.461102492292,-1838.6137521123862
304021089,fig tree pocket,222,2362.0,10.63963963963964,3.2117117117117115,4410.0,4581.875426866477,4725.082946090362,4825.773466704675,4942.376224956619,5028.409579889475,-2235.966821563855
304021090,kenmore,493,6567.0,13.32048681541582,3.1379310344827585,9547.0,9680.228059415364,9933.83035617798,10104.291101971574,10272.496140897252,10396.416359401705,-6412.267857528808
304031093,corinda,211,3193.0,15.132701421800949,3.3270142180094786,5391.0,5571.558910243955,5734.909349598755,5917.239932355235,6128.15251640687,6391.368172456567,-3055.436260160498
304031094,indooroopilly,6,210.0,35.0,5.0,13717.0,14688.750637298304,15631.57385223532,16464.49143157205,17613.892634760465,19135.534136155624,555.8295408941282
304031095,sherwood,169,507.0,3.0,3.591715976331361,6526.0,6839.051233195394,7066.825014102533,7369.863491967828,7692.912118994635,8056.87783968875,-290.66999435898686
304031097,taringa,27,2025.0,75.0,2.0,9188.0,9619.669598010876,10011.017411056428,10640.999047284144,11265.863335597667,11919.41594476194,-1695.793035577429
304041100,keperra,174,6138.0,35.275862068965516,3.5172413793103448,7498.0,7366.179897000274,7399.07501002644,7509.523949807604,7593.75472326862,7636.178007324178,-6177.569995989424
304041101,mitchelton,76,15969.0,210.1184210526316,1.9210526315789471,9034.0,9330.726869252288,9526.673876727673,9978.055153007514,10569.02811356291,11121.597889926226,-15771.930449308931
304041103,the gap,808,4152.0,5.138613861386139,4.02970297029703,17414.0,17554.74893724995,17741.398548855832,17963.77716161662,18202.208741115697,18370.9554743635,-4021.040580457667
304041104,upper kedron - ferny grove,365,14379.0,39.394520547945206,3.0794520547945203,11852.0,12833.436880580875,13302.748204835249,13242.86554501684,13235.514438367689,13220.775170320218,-13798.7007180659
305011105,brisbane city,32,9600.0,300.0,1.0,13779.0,18288.47611670039,24856.22420578045,29536.93653023895,33121.74841283029,36319.30793509228,-5169.11031768782
305011106,fortitude valley,69,20700.0,300.0,2.0144927536231885,9755.0,12646.867588427329,15252.061386238787,17706.195465507586,19702.379068214592,21791.20179867828,-18501.175445504487
305011108,kangaroo point,36,10800.0,300.0,2.0,9974.0,10597.990447960005,11439.294576924938,12254.849074303318,13104.353100213171,13977.519979422155,-10213.882169230024
305011112,west end,220,43725.0,198.75,2.831818181818182,15291.0,20523.62655072849,24922.625892286826,27875.14768667512,31519.04621771903,34566.9262709859,-39872.34964308527
305021113,balmoral,89,12655.0,142.19101123595505,2.0,4621.0,4785.170863108391,4869.506126767168,4967.202865681604,5084.094196191969,5212.2178434037305,-12555.597549293132
305021114,bulimba,53,1855.0,35.0,2.0,7507.0,8042.145285723756,8292.85259519598,8784.004761940356,9462.063956906646,10020.158025291516,-1540.658961921608
305021115,east brisbane,54,1890.0,35.0,4.0,6230.0,6759.187222702167,7121.509140233915,7442.204328551881,7803.9848064526,8207.043909200878,-1533.3963439064341
305021117,morningside - seven hills,637,23295.0,36.569858712715856,3.502354788069074,14583.0,14641.916041511868,14779.96515044971,14902.757744535218,15146.395171660464,15553.908518557906,-23216.213939820114
305031119,albion,207,17455.0,84.32367149758454,2.743961352657005,4374.0,5527.373945294914,6259.532643480486,6858.710645693918,7507.97956220656,7903.552319081064,-16700.786942607807
305031120,alderley,25,5115.0,204.6,1.0,6691.0,7157.908763640096,7596.028890419802,8003.522457067158,8446.76847766428,8939.580804105937,-4752.988443832079
305031121,ascot,57,14715.0,258.1578947368421,1.0,5850.0,6783.9422180185675,7486.43404596447,7937.587649993813,8196.420834840474,8348.995387542198,-14060.426381614212
305031122,clayfield,27,2025.0,75.0,2.0,10924.0,11435.616866378205,11710.6499129716,11952.04161542131,12346.469369834998,12850.183415828904,-1710.3400348113603
305031124,hamilton (qld),72,21600.0,300.0,2.0,6874.0,7747.206383965592,8112.817946062758,8385.942375278644,8711.193054792704,9111.34460687126,-21104.4728215749
305031125,hendra,15,1125.0,75.0,3.0,5023.0,5055.46459328806,5137.497897424044,5228.700924336387,5350.622225209127,5449.682497700532,-1079.2008410303824
305031126,kelvin grove - herston,53,1855.0,35.0,2.0,10445.0,12491.010142570129,13064.686886030971,13470.223158334096,13887.166600694796,14089.950433069584,-807.1252455876115
305031128,newstead - bowen hills,250,68700.0,274.8,2.736,18463.0,21480.566343785616,23143.55158635179,25261.61196282387,27577.166763847992,31039.444807778887,-66827.77936545928
305031130,windsor,15,1125.0,75.0,3.0,8126.0,8707.717260668913,9081.123504173922,9485.70358009458,10233.352202964052,11194.887393578494,-742.9505983304313
305031131,wooloowin - lutwyche,102,15750.0,154.41176470588235,1.8823529411764703,11234.0,11687.4557622034,12105.767769789058,12609.972515203915,13216.462461849236,14063.7673813693,-15401.292892084377
305041132,ashgrove,146,438.0,3.0,4.0,13941.0,14202.394808202856,14414.007373464578,14611.385469975456,14830.041312603487,15030.867354678749,-248.797050614169
305041133,auchenflower,27,2025.0,75.0,2.0,5774.0,6270.121858467451,6335.425758666212,6408.320312235581,6523.589019861627,6721.870443959848,-1800.4296965335154
305041134,bardon,292,876.0,3.0,4.0,10482.0,10811.67286253212,11058.12559622342,11302.858033208831,11569.15692409821,11818.314147862777,-645.5497615106317
305041135,paddington - milton,36,10800.0,300.0,2.0,12444.0,13399.682027628647,14087.372079821977,14655.637964399342,15241.07045939495,15859.457132501471,-10142.65116807121
305041137,toowong,64,16500.0,257.8125,1.5625,12725.0,14814.12009223385,15790.131341480244,16792.155233752896,17767.93790522001,18917.75319236296,-15273.947463407902
